Year,Quarter,Births,Deaths
2004,March,207,180
2004,June,203,185
2004,September,209,186
2004,December,210,180
2005,March,209,185
2005,June,216,180
2005,September,221,186
2005,December,221,186
2006,March,220,180
2006,June,221,194
2006,September,210,196
2006,December,221,194
2007,March,214,193
2007,June,206,202
2007,September,216,203
2007,December,208,206
2008,March,207,211
2008,June,202,228
2008,September,191,223
2008,December,187,238
2009,March,172,236
2009,June,177,225
2009,September,169,215
2009,December,183,200
2010,March,175,195
2010,June,180,185
2010,September,188,189
2010,December,200,186
2011,March,189,184
2011,June,192,190
2011,September,199,187
2011,December,202,191
2012,March,201,181
2012,June,197,185
2012,September,201,185
2012,December,201,182
2013,March,584,185
2013,June,229,219
2013,September,224,195
2013,December,215,190
2014,March,213,187